PlayerID,PurchaseAmount,PurchaseDate
1765,9.99,2023-08-18
9937,0.99,2023-04-26
2975,0.99,2023-11-13
6446,4.99,2023-12-22
1150,19.99,2023-09-01
5922,9.99,2023-03-01
9226,4.99,2023-12-30
3081,0.99,2023-10-17
5067,4.99,2023-01-23
1216,0.99,2023-11-16
1546,9.99,2023-07-20
3499,4.99,2023-05-31
8198,49.99,2023-06-03
4179,9.99,2023-08-16
8981,19.99,2023-12-26
9963,4.99,2023-06-26
3313,9.99,2023-12-02
7611,49.99,2023-02-18
1058,4.99,2023-10-09
3999,49.99,2023-01-17
2141,4.99,2023-02-04
1394,1.99,2023-12-31
8834,4.99,2023-12-12
2295,1.99,2023-08-12
7541,0.99,2023-06-20
5411,19.99,2023-06-07
1653,0.99,2023-03-12
7446,0.99,2023-06-30
4334,1.99,2023-07-14
9906,49.99,2023-08-22
14,4.99,2023-07-09
9724,9.99,2023-08-12
1846,9.99,2023-05-22
8192,4.99,2023-02-28
3046,4.99,2023-10-13
9974,1.99,2023-06-21
9615,4.99,2023-09-12
347,49.99,2023-12-22
4259,19.99,2023-10-08
6341,4.99,2023-05-05
6619,4.99,2023-04-04
4044,1.99,2023-08-27
2145,0.99,2023-08-02
1085,9.99,2023-07-21
3991,4.99,2023-04-13
4281,4.99,2023-01-23
5322,19.99,2023-10-24
852,1.99,2023-04-21
3367,49.99,2023-08-29
5070,1.99,2023-07-02
2189,1.99,2023-10-10
746,9.99,2023-04-03
9021,19.99,2023-06-02
7356,0.99,2023-06-17
5278,0.99,2023-11-26
5965,1.99,2023-01-15
4287,1.99,2023-06-24
897,1.99,2023-04-08
4165,19.99,2023-11-22
2448,49.99,2023-02-11
2759,49.99,2023-03-05
4360,19.99,2023-03-19
385,19.99,2023-11-11
4918,9.99,2023-03-11
2797,0.99,2023-12-30
8290,4.99,2023-08-24
4806,19.99,2023-11-02
1993,4.99,2023-05-09
8096,1.99,2023-05-20
7934,19.99,2023-09-13
614,9.99,2023-09-16
7470,19.99,2023-05-03
649,19.99,2023-09-02
3871,1.99,2023-10-22
9979,1.99,2023-02-19
8276,9.99,2023-08-30
754,9.99,2023-02-19
8857,0.99,2023-07-30
672,9.99,2023-02-20
3837,9.99,2023-09-12
1447,1.99,2023-10-03
3063,49.99,2023-04-25
8610,4.99,2023-04-04
7310,4.99,2023-11-13
649,9.99,2023-07-25
8740,4.99,2023-12-26
2158,9.99,2023-10-31
8704,19.99,2023-09-08
3009,49.99,2023-04-12
1530,4.99,2023-01-30
6042,19.99,2023-06-17
6266,49.99,2023-11-11
9991,4.99,2023-04-08
2554,4.99,2023-02-04
1714,1.99,2023-12-10
9355,9.99,2023-11-29
8532,19.99,2023-10-13
923,4.99,2023-12-17
1606,0.99,2023-01-09
5470,49.99,2023-07-04
1906,1.99,2023-08-25
7600,49.99,2023-08-29
154,0.99,2023-04-27
2249,9.99,2023-12-01
9352,19.99,2023-07-27
1997,9.99,2023-09-23
1357,1.99,2023-12-16
6017,49.99,2023-10-04
999,9.99,2023-08-03
6126,49.99,2023-01-20
5030,49.99,2023-04-15
5617,9.99,2023-06-14
6881,0.99,2023-04-07
7563,4.99,2023-05-27
882,0.99,2023-08-05
6259,0.99,2023-06-15
1253,1.99,2023-08-14
757,19.99,2023-09-02
5549,4.99,2023-09-18
6587,19.99,2023-04-23
8443,1.99,2023-02-14
2438,4.99,2023-09-04
3787,9.99,2023-09-06
4943,4.99,2023-11-28
3888,1.99,2023-08-07
442,0.99,2023-01-28
1142,4.99,2023-03-10
699,9.99,2023-02-07
2103,9.99,2023-10-29
3962,19.99,2023-12-19
8987,0.99,2023-07-14
5719,9.99,2023-10-16
6724,49.99,2023-02-26
497,1.99,2023-06-06
9319,9.99,2023-02-22
732,4.99,2023-06-03
8601,0.99,2023-06-10
1336,49.99,2023-06-03
8919,49.99,2023-01-25
9298,0.99,2023-06-03
9408,0.99,2023-02-07
5979,0.99,2023-02-26
6825,49.99,2023-01-20
9048,4.99,2023-04-04
1684,4.99,2023-10-15
5623,0.99,2023-04-10
3742,19.99,2023-02-03
9245,9.99,2023-11-12
3820,1.99,2023-07-04
5564,19.99,2023-01-24
1954,4.99,2023-04-22
6300,49.99,2023-12-13
9677,1.99,2023-09-14
214,9.99,2023-03-16
7086,0.99,2023-10-15
5861,1.99,2023-02-24
3164,0.99,2023-03-20
7431,49.99,2023-12-03
7275,0.99,2023-09-12
795,1.99,2023-07-15
6192,19.99,2023-02-27
4599,49.99,2023-05-23
8314,9.99,2023-08-08
990,0.99,2023-03-09
7813,1.99,2023-12-08
680,0.99,2023-03-06
4367,1.99,2023-02-16
4282,49.99,2023-04-14
7739,9.99,2023-09-17
4722,49.99,2023-09-10
3900,0.99,2023-09-30
6911,19.99,2023-04-18
8577,0.99,2023-01-30
7156,19.99,2023-11-29
5321,9.99,2023-02-02
7331,1.99,2023-05-15
3469,4.99,2023-01-05
3616,19.99,2023-04-27
4882,1.99,2023-07-08
9673,49.99,2023-07-17
4245,9.99,2023-02-28
5724,19.99,2023-11-12
6694,9.99,2023-12-25
3120,9.99,2023-10-30
834,4.99,2023-07-12
3446,0.99,2023-03-02
2721,4.99,2023-10-22
2218,1.99,2023-11-16
4430,9.99,2023-04-03
3238,4.99,2023-02-15
185,19.99,2023-10-03
6391,4.99,2023-08-07
5995,9.99,2023-05-16
3654,4.99,2023-05-13
2189,49.99,2023-08-27
4746,0.99,2023-02-21
9646,1.99,2023-11-16
8169,49.99,2023-03-24
6820,1.99,2023-02-02
3307,4.99,2023-05-10
1078,4.99,2023-09-16
7032,4.99,2023-03-03
6735,0.99,2023-12-20
9029,1.99,2023-04-03
415,0.99,2023-01-15
163,1.99,2023-10-20
7884,49.99,2023-09-12
9567,4.99,2023-08-17
1268,9.99,2023-08-19
9398,19.99,2023-02-23
221,1.99,2023-10-08
3760,19.99,2023-08-25
9407,9.99,2023-07-07
5413,19.99,2023-03-17
6855,4.99,2023-02-27
1250,0.99,2023-07-29
7524,4.99,2023-12-10
759,49.99,2023-02-10
1552,0.99,2023-04-17
9029,1.99,2023-11-17
9740,9.99,2023-10-21
1841,9.99,2023-06-30
6728,19.99,2023-04-29
1406,49.99,2023-10-13
7120,9.99,2023-09-06
8893,19.99,2023-04-13
3018,4.99,2023-10-07
3282,4.99,2023-02-07
6798,4.99,2023-12-17
9542,4.99,2023-02-02
4038,19.99,2023-08-03
744,49.99,2023-06-11
8509,4.99,2023-03-08
3819,19.99,2023-03-01
3639,4.99,2023-11-25
6735,1.99,2023-04-02
2386,0.99,2023-04-02
4268,19.99,2023-02-26
7589,9.99,2023-09-21
6158,19.99,2023-03-20
3625,9.99,2023-04-14
4067,4.99,2023-03-08
2096,1.99,2023-08-27
2949,49.99,2023-06-10
4332,19.99,2023-06-09
2141,9.99,2023-11-16
9489,4.99,2023-02-17
3595,19.99,2023-08-02
3413,9.99,2023-07-02
9668,49.99,2023-01-18
4133,19.99,2023-07-19
9569,4.99,2023-12-18
7050,49.99,2023-04-27
7328,0.99,2023-09-11
8029,9.99,2023-12-26
7012,1.99,2023-02-25
3509,9.99,2023-05-18
8641,0.99,2023-11-07
1017,0.99,2023-07-07
2436,19.99,2023-01-23
4242,49.99,2023-01-10
8841,4.99,2023-05-12
6556,4.99,2023-04-09
7452,19.99,2023-04-29
8715,19.99,2023-12-19
9681,1.99,2023-11-19
8597,1.99,2023-04-17
1888,49.99,2023-08-10
110,9.99,2023-10-16
2944,19.99,2023-03-14
3069,9.99,2023-11-10
6654,4.99,2023-08-30
7866,1.99,2023-05-30
5255,49.99,2023-08-19
4370,4.99,2023-08-17
8331,19.99,2023-05-21
779,9.99,2023-04-18
6276,19.99,2023-09-27
7638,19.99,2023-12-07
3793,1.99,2023-05-10
655,0.99,2023-11-10
8141,1.99,2023-01-02
5191,49.99,2023-01-13
7318,0.99,2023-11-09
8285,49.99,2023-05-12
8163,1.99,2023-05-02
6044,0.99,2023-08-07
6975,0.99,2023-12-10
3820,1.99,2023-05-29
605,0.99,2023-03-13
3298,19.99,2023-10-19
8888,9.99,2023-08-28
2842,9.99,2023-10-02
3738,4.99,2023-12-08
8829,1.99,2023-06-26
5260,0.99,2023-02-17
4026,9.99,2023-08-02
7129,1.99,2023-06-09
7776,1.99,2023-11-29
1516,49.99,2023-06-24
1135,0.99,2023-12-04
185,19.99,2023-01-25
8787,19.99,2023-08-08
8441,9.99,2023-04-03
9045,49.99,2023-07-10
185,49.99,2023-11-28
795,9.99,2023-02-27
6644,1.99,2023-05-18
5986,9.99,2023-02-22
2129,49.99,2023-10-22
9448,19.99,2023-07-07
6205,4.99,2023-11-21
3717,1.99,2023-04-15
8318,49.99,2023-04-13
460,19.99,2023-09-15
5012,19.99,2023-04-05
8922,4.99,2023-10-09
6405,1.99,2023-11-16
2558,49.99,2023-11-26
7626,9.99,2023-09-14
1555,1.99,2023-08-31
6000,1.99,2023-12-21
4406,1.99,2023-05-29
2865,1.99,2023-05-22
9538,9.99,2023-09-16
9518,49.99,2023-12-12
7913,19.99,2023-09-26
9417,9.99,2023-01-31
1380,0.99,2023-04-26
7977,4.99,2023-09-11
4333,0.99,2023-11-11
5545,9.99,2023-05-08
1038,4.99,2023-06-25
8060,9.99,2023-07-03
1585,9.99,2023-04-04
5451,19.99,2023-04-03
6407,9.99,2023-09-29
1753,49.99,2023-09-03
6947,19.99,2023-07-24
3756,9.99,2023-12-23
8313,19.99,2023-04-29
1680,19.99,2023-04-12
8564,4.99,2023-05-11
6260,9.99,2023-12-03
1248,9.99,2023-09-14
5697,4.99,2023-10-09
862,49.99,2023-12-02
2804,0.99,2023-03-30
9807,19.99,2023-06-02
2228,4.99,2023-01-28
8613,9.99,2023-08-24
6754,1.99,2023-09-01
9986,0.99,2023-09-01
7976,4.99,2023-04-24
8809,9.99,2023-12-16
9705,0.99,2023-07-08
4307,9.99,2023-11-11
1820,9.99,2023-08-07
8699,1.99,2023-08-05
1002,4.99,2023-11-02
9952,9.99,2023-04-25
4389,9.99,2023-07-27
2799,1.99,2023-06-03
6683,9.99,2023-02-15
8371,4.99,2023-03-11
9784,49.99,2023-08-18
9648,0.99,2023-02-06
1233,49.99,2023-04-28
1205,0.99,2023-07-29
8240,4.99,2023-09-25
3815,4.99,2023-12-25
9034,49.99,2023-10-29
8200,9.99,2023-04-11
285,9.99,2023-09-13
1140,9.99,2023-08-02
553,49.99,2023-07-03
3344,4.99,2023-12-06
1478,1.99,2023-08-15
2485,1.99,2023-09-10
3475,49.99,2023-05-11
2997,4.99,2023-02-03
7929,1.99,2023-01-03
7168,19.99,2023-03-12
7903,0.99,2023-01-08
2115,1.99,2023-10-30
4707,4.99,2023-05-17
4235,49.99,2023-07-06
2073,9.99,2023-09-11
4627,9.99,2023-08-03
5159,49.99,2023-08-11
8826,4.99,2023-05-11
4727,1.99,2023-01-22
2196,0.99,2023-07-16
6071,49.99,2023-05-29
3379,1.99,2023-04-08
5118,4.99,2023-03-10
1448,1.99,2023-01-06
8007,9.99,2023-08-17
8029,4.99,2023-10-07
7139,4.99,2023-05-23
6429,49.99,2023-08-29
7027,9.99,2023-11-22
1067,9.99,2023-02-11
1909,0.99,2023-10-12
2824,19.99,2023-02-02
8086,49.99,2023-02-07
6765,0.99,2023-08-14
9460,4.99,2023-08-06
4750,9.99,2023-10-21
59,0.99,2023-05-02
1134,0.99,2023-01-31
6789,49.99,2023-07-01
1299,4.99,2023-04-29
4343,0.99,2023-01-20
5225,0.99,2023-12-12
2681,4.99,2023-06-11
4799,49.99,2023-01-30
9882,9.99,2023-05-01
286,49.99,2023-05-21
6639,4.99,2023-10-14
7120,1.99,2023-01-31
9744,1.99,2023-11-24
8125,0.99,2023-07-15
2798,0.99,2023-07-16
9678,1.99,2023-02-17
7618,49.99,2023-12-02
3717,49.99,2023-01-07
1861,0.99,2023-10-23
6638,49.99,2023-07-02
8940,1.99,2023-05-08
5919,49.99,2023-05-09
5933,19.99,2023-07-02
3058,4.99,2023-12-04
7175,0.99,2023-06-16
4322,0.99,2023-08-18
2624,1.99,2023-02-04
6307,9.99,2023-01-11
5242,9.99,2023-03-05
5625,19.99,2023-06-05
4270,49.99,2023-01-03
3404,9.99,2023-06-20
8211,1.99,2023-01-29
1958,49.99,2023-03-29
6796,19.99,2023-05-28
839,9.99,2023-07-26
2634,9.99,2023-03-25
3989,0.99,2023-05-13
7528,9.99,2023-08-16
3532,9.99,2023-01-11
7917,0.99,2023-11-04
4201,49.99,2023-05-24
5883,1.99,2023-06-25
4768,19.99,2023-07-08
2969,49.99,2023-07-17
7941,4.99,2023-08-22
8179,1.99,2023-09-11
6599,0.99,2023-11-07
2487,19.99,2023-09-20
11,19.99,2023-04-08
1768,0.99,2023-12-29
1036,0.99,2023-02-01
4173,1.99,2023-11-13
863,4.99,2023-02-14
2765,0.99,2023-09-26
1725,4.99,2023-11-21
5101,1.99,2023-12-08
9459,19.99,2023-03-08
9341,49.99,2023-02-20
4094,0.99,2023-04-19
3514,9.99,2023-09-30
7749,1.99,2023-02-20
8827,4.99,2023-10-15
4052,49.99,2023-07-11
4811,9.99,2023-07-02
904,19.99,2023-12-24
4722,1.99,2023-03-13
1903,0.99,2023-04-13
5614,19.99,2023-01-12
8840,4.99,2023-02-05
6528,49.99,2023-03-19
9724,0.99,2023-10-10
3778,4.99,2023-04-29
2302,9.99,2023-09-27
7750,0.99,2023-07-27
8884,1.99,2023-01-01
3825,0.99,2023-12-23
9829,0.99,2023-02-02
6843,0.99,2023-06-07
3069,9.99,2023-07-08
5763,0.99,2023-05-06
6105,4.99,2023-12-14
7894,19.99,2023-11-06
7830,9.99,2023-11-09
1729,9.99,2023-04-23
8130,9.99,2023-08-29
4582,19.99,2023-05-02
7371,1.99,2023-08-11
6538,49.99,2023-04-09
5500,9.99,2023-03-23
9069,0.99,2023-11-07
1156,0.99,2023-04-01
2172,4.99,2023-07-07
4794,19.99,2023-12-05
6142,9.99,2023-10-01
8197,9.99,2023-05-15
3124,9.99,2023-12-06
7642,9.99,2023-07-08
3599,1.99,2023-12-23
1485,49.99,2023-02-06
3200,49.99,2023-04-16
8838,19.99,2023-08-03
2915,4.99,2023-08-16
9382,49.99,2023-09-29
1797,19.99,2023-09-19
9966,49.99,2023-10-20
9316,19.99,2023-12-09
8651,1.99,2023-11-01
8444,4.99,2023-10-27
468,1.99,2023-11-18
694,0.99,2023-02-08
7663,4.99,2023-08-19
8529,4.99,2023-03-15
9595,19.99,2023-09-03
5287,9.99,2023-03-25
4532,49.99,2023-12-23
323,1.99,2023-05-05
7633,49.99,2023-05-17
3622,19.99,2023-03-23
8722,1.99,2023-07-29
1944,9.99,2023-03-28
1170,0.99,2023-07-25
8177,1.99,2023-06-19
267,49.99,2023-03-31
7955,0.99,2023-11-03
7660,0.99,2023-01-18
1661,49.99,2023-02-28
8758,0.99,2023-01-20
9386,0.99,2023-12-13
6872,1.99,2023-02-05
6119,49.99,2023-10-03
4711,49.99,2023-05-09
6388,4.99,2023-01-12
7088,4.99,2023-08-08
3061,0.99,2023-10-17
9499,1.99,2023-06-25
2590,49.99,2023-07-07
1437,0.99,2023-10-30
9519,1.99,2023-01-16
7527,1.99,2023-11-09
647,1.99,2023-03-20
2591,9.99,2023-12-13
1123,9.99,2023-06-22
577,49.99,2023-11-05
3987,1.99,2023-05-21
7042,4.99,2023-04-26
5054,1.99,2023-05-04
5674,4.99,2023-09-21
6227,49.99,2023-04-27
5080,0.99,2023-03-13
2266,1.99,2023-04-21
7495,9.99,2023-06-23
3187,1.99,2023-02-28
5580,9.99,2023-06-14
6848,49.99,2023-03-01
6439,49.99,2023-02-09
2165,1.99,2023-09-08
4981,0.99,2023-06-07
2896,49.99,2023-06-21
5058,0.99,2023-08-26
5324,9.99,2023-10-19
3115,49.99,2023-04-07
3830,19.99,2023-11-17
8367,0.99,2023-01-15
1504,19.99,2023-07-07
1771,4.99,2023-07-10
5306,9.99,2023-05-23
66,4.99,2023-02-06
3569,19.99,2023-04-21
5603,19.99,2023-01-09
8276,4.99,2023-03-13
9922,9.99,2023-10-26
7215,19.99,2023-06-25
7077,9.99,2023-01-29
8154,9.99,2023-03-15
4172,19.99,2023-11-18
8052,49.99,2023-11-08
2324,49.99,2023-05-26
2534,0.99,2023-07-14
5504,4.99,2023-08-09
1202,49.99,2023-01-17
9445,4.99,2023-09-06
153,1.99,2023-06-07
1923,9.99,2023-11-28
2809,1.99,2023-08-05
1546,1.99,2023-03-19
9376,9.99,2023-11-20
3348,0.99,2023-06-15
1224,19.99,2023-08-01
5379,1.99,2023-03-12
6445,1.99,2023-07-27
1569,49.99,2023-05-12
8962,4.99,2023-06-02
511,1.99,2023-02-18
1451,9.99,2023-08-29
5047,9.99,2023-11-08
4619,19.99,2023-05-19
9492,0.99,2023-11-21
4653,19.99,2023-01-25
9853,19.99,2023-09-02
5413,19.99,2023-08-11
6329,1.99,2023-12-11
8196,49.99,2023-08-29
1870,1.99,2023-05-14
7596,4.99,2023-03-21
7415,49.99,2023-03-20
6154,0.99,2023-01-02
9183,0.99,2023-05-26
8178,0.99,2023-11-19
8060,4.99,2023-11-30
6157,1.99,2023-11-03
6500,49.99,2023-12-25
3524,19.99,2023-12-25
9186,4.99,2023-08-27
8691,1.99,2023-07-10
1543,0.99,2023-01-20
7119,9.99,2023-06-25
9436,19.99,2023-11-23
8672,9.99,2023-01-29
7662,0.99,2023-02-24
742,19.99,2023-12-12
8293,9.99,2023-10-13
8173,49.99,2023-11-12
6922,0.99,2023-01-01
6795,19.99,2023-10-15
6680,4.99,2023-09-26
35,19.99,2023-11-16
2985,19.99,2023-07-15
311,4.99,2023-06-13
8590,4.99,2023-12-02
2701,4.99,2023-04-12
1266,4.99,2023-06-18
9601,1.99,2023-09-17
3216,1.99,2023-06-14
5791,4.99,2023-02-08
3714,19.99,2023-06-17
873,1.99,2023-12-05
4784,1.99,2023-02-28
6255,19.99,2023-08-11
4986,19.99,2023-04-15
7893,19.99,2023-02-15
8817,1.99,2023-11-03
5766,1.99,2023-04-04
7683,1.99,2023-08-15
2626,19.99,2023-06-03
6983,19.99,2023-01-06
9026,0.99,2023-12-11
170,0.99,2023-04-30
5602,9.99,2023-04-05
9980,19.99,2023-08-06
4085,1.99,2023-10-22
7962,9.99,2023-11-22
4375,4.99,2023-01-03
9507,0.99,2023-12-01
8530,9.99,2023-11-28
7032,0.99,2023-08-05
9157,49.99,2023-12-31
1431,19.99,2023-06-07
8344,0.99,2023-08-27
1535,19.99,2023-03-17
7848,9.99,2023-09-14
1040,19.99,2023-07-18
127,0.99,2023-09-14
6801,49.99,2023-09-16
8631,49.99,2023-12-14
5490,1.99,2023-11-07
4990,19.99,2023-05-03
5076,1.99,2023-08-22
787,49.99,2023-03-16
4155,9.99,2023-05-07
9679,49.99,2023-04-23
4640,9.99,2023-07-18
2054,1.99,2023-06-07
3660,49.99,2023-02-21
6330,0.99,2023-07-17
314,19.99,2023-10-25
7437,49.99,2023-10-31
1863,0.99,2023-01-08
828,9.99,2023-01-31
5438,0.99,2023-02-19
8897,19.99,2023-02-23
7635,19.99,2023-03-06
8688,49.99,2023-12-18
6013,1.99,2023-05-13
6873,19.99,2023-10-05
6366,1.99,2023-01-17
3316,9.99,2023-11-02
4159,9.99,2023-05-20
4755,19.99,2023-11-12
9316,49.99,2023-08-10
4916,0.99,2023-07-13
7533,49.99,2023-10-25
5733,19.99,2023-10-11
1636,9.99,2023-02-07
2379,49.99,2023-11-13
2715,1.99,2023-09-29
3711,1.99,2023-03-14
9031,19.99,2023-01-29
6475,1.99,2023-04-20
8701,1.99,2023-04-02
8102,19.99,2023-12-08
7140,4.99,2023-07-19
9289,19.99,2023-02-01
8982,9.99,2023-03-12
8660,4.99,2023-05-22
3418,0.99,2023-06-15
5651,19.99,2023-02-14
5357,1.99,2023-12-19
4288,9.99,2023-03-23
812,9.99,2023-06-24
1250,0.99,2023-10-11
6918,49.99,2023-09-16
4384,9.99,2023-05-20
1317,1.99,2023-06-18
7422,19.99,2023-01-18
7122,49.99,2023-11-10
6200,49.99,2023-07-25
1624,0.99,2023-09-15
3615,4.99,2023-01-05
8682,19.99,2023-09-22
3999,19.99,2023-10-11
8294,19.99,2023-11-27
6705,9.99,2023-03-06
2090,1.99,2023-11-16
8791,49.99,2023-08-17
3954,19.99,2023-01-27
7346,9.99,2023-09-15
2623,49.99,2023-07-22
2949,0.99,2023-07-30
3427,1.99,2023-06-10
1055,9.99,2023-02-24
7334,49.99,2023-11-29
5593,4.99,2023-09-19
2124,9.99,2023-09-18
3056,9.99,2023-08-25
1095,4.99,2023-01-03
4986,49.99,2023-11-23
3092,19.99,2023-11-17
5924,0.99,2023-08-06
3876,19.99,2023-03-09
8263,1.99,2023-11-12
4855,0.99,2023-12-29
9987,49.99,2023-12-05
5211,19.99,2023-12-07
779,1.99,2023-04-15
4232,0.99,2023-01-26
7925,19.99,2023-05-24
7137,19.99,2023-05-20
8639,0.99,2023-11-26
7416,49.99,2023-12-22
3517,4.99,2023-09-01
282,49.99,2023-08-09
5276,49.99,2023-03-24
8465,49.99,2023-04-13
6064,19.99,2023-12-23
2889,19.99,2023-04-30
9657,4.99,2023-04-04
42,1.99,2023-07-10
6003,19.99,2023-04-17
4805,49.99,2023-03-13
2681,4.99,2023-04-02
5845,1.99,2023-02-14
4650,0.99,2023-12-14
284,1.99,2023-03-24
2842,4.99,2023-04-09
8589,19.99,2023-03-30
9577,4.99,2023-09-30
5597,9.99,2023-12-17
8149,19.99,2023-11-06
6734,49.99,2023-05-17
1890,0.99,2023-08-29
9658,0.99,2023-08-08
9034,19.99,2023-03-23
6109,9.99,2023-04-13
1191,0.99,2023-10-20
9220,4.99,2023-07-03
6366,4.99,2023-08-11
3605,1.99,2023-03-20
7516,49.99,2023-02-19
4369,19.99,2023-02-07
7759,0.99,2023-12-17
2207,4.99,2023-10-07
6101,49.99,2023-02-11
8619,9.99,2023-01-09
5100,19.99,2023-08-07
7323,4.99,2023-09-30
7695,1.99,2023-10-13
6909,49.99,2023-10-13
5793,4.99,2023-10-12
6937,1.99,2023-12-11
6615,1.99,2023-10-09
5211,4.99,2023-05-12
9316,49.99,2023-09-22
1910,9.99,2023-01-31
6895,19.99,2023-06-24
5883,19.99,2023-08-20
6716,4.99,2023-05-04
9757,49.99,2023-05-07
5226,4.99,2023-01-30
4730,1.99,2023-07-13
4659,19.99,2023-08-01
4436,19.99,2023-12-20
